0.52,hsa-miR-144-3p,hsa-miR-22-3p,"[-0.0005147413796134444, 0.1605194230383757]"
0.43,hsa-miR-144-3p,hsa-let-7d-3p,"[-0.06947870671593398, 0.0]"
0.41,hsa-miR-144-3p,hsa-let-7g-5p,"[-0.06947870671593398, 0.0]"
0.4,hsa-miR-144-3p,hsa-miR-425-5p,"[-0.06947870671593398, 0.0]"
0.4,hsa-miR-144-3p,hsa-miR-423-5p,"[-0.06947870671593398, 0.0]"
0.39,hsa-miR-144-3p,hsa-miR-139-5p,"[-0.03830444521485256, -0.026767898179833566]"
0.39,hsa-miR-144-3p,hsa-miR-152,"[-0.014683552165193972, -0.06264633041569641]"
0.39,hsa-miR-144-3p,hsa-miR-30c-5p,"[-0.06947870671593398, 0.0]"
0.39,hsa-miR-144-3p,hsa-miR-320b,"[-0.06549702839203575, -0.1086979615467107]"
0.39,hsa-miR-144-3p,hsa-miR-103a-3p,"[-0.06947870671593398, 0.0]"
0.38,hsa-miR-142-5p,hsa-miR-107,"[-0.010494378694447963, 0.0]"
0.38,hsa-miR-142-5p,hsa-miR-140-5p,"[0.0, -0.011240262165932177]"
0.38,hsa-miR-142-5p,hsa-miR-199a-3p,"[0.0, -0.02146756125595465]"
0.38,hsa-miR-144-3p,hsa-miR-660-5p,"[-0.06947870671593398, 0.0]"
0.38,hsa-miR-144-3p,hsa-miR-192-5p,"[-0.02766451364572869, -0.050463403311022025]"
0.38,hsa-miR-144-3p,hsa-miR-197-3p,"[-0.048188699179878135, -0.04485316015468327]"
0.37,hsa-miR-142-5p,hsa-miR-885-5p,"[0.0, -0.006237597265472424]"
0.37,hsa-miR-144-3p,hsa-let-7i-5p,"[-0.06947870671593398, 0.0]"
0.37,hsa-miR-144-3p,hsa-miR-20a-5p,"[-0.06947870671593398, 0.0]"
0.37,hsa-miR-144-3p,hsa-miR-126-3p,"[-0.06947870671593398, 0.0]"
0.37,hsa-miR-144-3p,hsa-miR-106b-5p,"[-0.06947870671593398, 0.0]"
0.36,hsa-miR-142-5p,hsa-let-7d-3p,"[-0.010494378694447963, 0.0]"
0.36,hsa-miR-142-5p,hsa-miR-15b-5p,"[0.0, -0.03614972172184327]"
0.36,hsa-miR-142-5p,hsa-miR-130b-3p,"[0.0, -0.016134382705333537]"
0.36,hsa-miR-142-5p,hsa-miR-32-5p,"[0.0, -0.024916393147165303]"
0.36,hsa-miR-142-5p,hsa-miR-29b-3p,"[-0.01049489470675983, 0.0]"
0.36,hsa-miR-142-5p,hsa-miR-181a-5p,"[-0.010494378694447963, 0.0]"
0.36,hsa-miR-144-3p,hsa-miR-423-3p,"[-0.03593911812141781, -0.039244903659641076]"
0.36,hsa-miR-144-3p,hsa-miR-23a-3p,"[-0.06947870671593398, 0.0]"
0.35,hsa-miR-142-5p,hsa-miR-106b-5p,"[-0.010494378694447963, 0.0]"
0.35,hsa-miR-142-5p,hsa-miR-374a-5p,"[-0.010495028476094952, 0.0]"
0.35,hsa-miR-142-5p,hsa-miR-29a-3p,"[-0.010494378694447963, 0.0]"
0.35,hsa-miR-142-5p,hsa-miR-223-5p,"[0.0, -0.014549162584272121]"
0.35,hsa-miR-142-5p,hsa-miR-151a-5p,"[0.0, -0.026475415567181516]"
0.35,hsa-miR-142-5p,hsa-miR-125a-5p,"[-0.004077815503096717, -0.006037396763081634]"
0.35,hsa-miR-142-5p,hsa-miR-424-5p,"[0.0, -0.01932714706637624]"
0.35,hsa-miR-144-3p,hsa-miR-101-3p,"[-0.08252095075617308, 0.03904394111175295]"
0.35,hsa-miR-144-3p,hsa-let-7d-5p,"[-0.05990369997935658, -0.011700616309267175]"
0.35,hsa-miR-144-3p,hsa-miR-502-3p,"[-0.04198811412120925, -0.019017559788302142]"
0.35,hsa-miR-144-3p,hsa-let-7f-5p,"[-0.04126139355390312, -0.018867421052889483]"
0.35,hsa-miR-144-3p,hsa-miR-374a-5p,"[-0.06947870671593398, 0.0]"
0.34,hsa-miR-142-5p,hsa-miR-652-3p,"[0.0, -0.025194609603946528]"
0.34,hsa-miR-142-5p,hsa-miR-144-5p,"[0.0, -0.015132438041921444]"
0.34,hsa-miR-144-3p,hsa-let-7b-3p,"[-0.06947870671593398, 0.0]"
0.34,hsa-miR-144-3p,hsa-miR-425-3p,"[-0.05225975246978016, -0.010059880748057333]"
0.33,hsa-miR-142-5p,hsa-miR-378a-3p,"[-0.010494378694447963, 0.0]"
0.32,hsa-miR-142-5p,hsa-miR-210,"[-0.010494378694447963, 0.0]"
0.32,hsa-miR-142-5p,hsa-let-7a-5p,"[-0.010494378694447963, 0.0]"
0.32,hsa-miR-144-3p,hsa-miR-30d-5p,"[-0.06955437862370423, 0.0]"
0.31,hsa-miR-144-3p,hsa-miR-532-3p,"[-0.06947870671593398, 0.0]"
