0.51,hsa-miR-146a-5p,hsa-miR-22-3p,"[0.0, 0.16178029979356717]"
0.46,hsa-miR-338-3p,hsa-miR-148a-3p,"[0.0, -0.3572558305605361]"
0.43,hsa-miR-338-3p,hsa-miR-215,"[-0.26375697994315017, 0.3122013413397811]"
0.41,hsa-miR-146a-5p,hsa-miR-320b,"[0.0, -0.11239672915506532]"
0.4,hsa-miR-146a-5p,hsa-miR-103a-3p,"[0.0, 0.0]"
0.4,hsa-miR-338-3p,hsa-miR-497-5p,"[-0.1960774659896681, 0.1867368084174101]"
0.39,hsa-miR-146a-5p,hsa-miR-197-3p,"[0.0, -0.0496637486664413]"
0.39,hsa-miR-146a-5p,hsa-miR-425-5p,"[0.0, 0.0]"
0.39,hsa-miR-338-3p,hsa-miR-30a-5p,"[-0.025754305070468067, -0.007452096257346449]"
0.39,hsa-miR-338-3p,hsa-miR-142-5p,"[-0.032724626166296136, 0.0]"
0.38,hsa-miR-146a-5p,hsa-miR-423-5p,"[0.0, 0.0]"
0.38,hsa-miR-146a-5p,hsa-miR-29a-3p,"[0.0, 0.0]"
0.38,hsa-miR-338-3p,hsa-miR-375,"[-0.19198056449541046, 0.16652789472202117]"
0.38,hsa-miR-338-3p,hsa-miR-144-3p,"[-0.029253758056778007, -0.03017471712167756]"
0.37,hsa-miR-146a-5p,hsa-let-7g-5p,"[0.0, 0.0]"
0.37,hsa-miR-146a-5p,hsa-let-7d-3p,"[0.0, 0.0]"
0.37,hsa-miR-146a-5p,hsa-miR-210,"[0.0, -0.003939667103590772]"
0.37,hsa-miR-146a-5p,hsa-miR-223-5p,"[0.0, -0.014543482654461523]"
0.37,hsa-miR-338-3p,hsa-miR-99b-5p,"[0.0, -0.03241561704414171]"
0.37,hsa-miR-338-3p,hsa-miR-199a-5p,"[0.0, -0.08151859048452854]"
0.36,hsa-miR-146a-5p,hsa-miR-106b-5p,"[0.0, 0.0]"
0.36,hsa-miR-146a-5p,hsa-miR-885-5p,"[0.0, -0.006237148359620261]"
0.36,hsa-miR-146a-5p,hsa-miR-140-5p,"[0.0, -0.011240262165932177]"
0.36,hsa-miR-146a-5p,hsa-miR-199a-3p,"[0.0, -0.021462421489281205]"
0.36,hsa-miR-146a-5p,hsa-miR-29b-3p,"[0.0, -0.005725144627947476]"
0.36,hsa-miR-146a-5p,hsa-miR-424-5p,"[0.0, -0.019321161886065634]"
0.36,hsa-miR-338-3p,hsa-miR-223-3p,"[-0.07481361843296416, -0.041591908357282076]"
0.36,hsa-miR-338-3p,hsa-miR-21-5p,"[-0.032724626166296136, 0.0]"
0.35,hsa-miR-146a-5p,hsa-miR-23a-3p,"[0.0, 0.0]"
0.35,hsa-miR-146a-5p,hsa-miR-502-3p,"[0.0, -0.023933716482502466]"
0.35,hsa-miR-146a-5p,hsa-miR-126-3p,"[0.0, 0.0]"
0.35,hsa-miR-146a-5p,hsa-miR-15b-5p,"[0.0, -0.03614972172184327]"
0.35,hsa-miR-146a-5p,hsa-miR-107,"[0.0, 0.0]"
0.35,hsa-miR-146a-5p,hsa-miR-125a-5p,"[0.0, -0.009517340650337942]"
0.35,hsa-miR-146a-5p,hsa-let-7a-5p,"[0.0, 0.0]"
0.34,hsa-miR-146a-5p,hsa-let-7i-5p,"[0.0, 0.0]"
0.34,hsa-miR-146a-5p,hsa-miR-20a-5p,"[0.0, 0.0]"
0.34,hsa-miR-146a-5p,hsa-let-7b-3p,"[0.0, -0.0037148417132260624]"
0.34,hsa-miR-146a-5p,hsa-let-7f-5p,"[0.0, -0.02349044920882396]"
0.34,hsa-miR-146a-5p,hsa-miR-130b-3p,"[0.0, -0.016125429654868316]"
0.34,hsa-miR-146a-5p,hsa-miR-378a-3p,"[0.0, 0.0]"
0.34,hsa-miR-146a-5p,hsa-miR-32-5p,"[0.0, -0.024916393147165303]"
0.34,hsa-miR-146a-5p,hsa-miR-144-5p,"[0.0, -0.015132438041921444]"
0.34,hsa-miR-146a-5p,hsa-miR-181a-5p,"[0.0, 0.0]"
0.33,hsa-miR-146a-5p,hsa-miR-425-3p,"[0.0, -0.016120669382206403]"
0.33,hsa-miR-146a-5p,hsa-miR-30d-5p,"[0.0, -0.006077749341269961]"
0.33,hsa-miR-146a-5p,hsa-miR-374a-5p,"[0.0, -0.003905654699771365]"
0.33,hsa-miR-146a-5p,hsa-miR-652-3p,"[0.0, -0.025194609603946528]"
0.33,hsa-miR-146a-5p,hsa-miR-151a-5p,"[0.0, -0.026469734781428302]"
0.32,hsa-miR-146a-5p,hsa-miR-532-3p,"[0.0, -0.007618885342800711]"
