0.63,hsa-miR-130a-3p,hsa-miR-30e-5p,"[-1.0001606732458506, 1.2088296719898597]"
0.59,hsa-miR-130a-3p,hsa-miR-215,"[-0.7608345711103752, 0.48039800144365136]"
0.57,hsa-miR-130a-3p,hsa-miR-497-5p,"[-0.6296664309885519, 0.3277296707573897]"
0.56,hsa-miR-130a-3p,hsa-miR-29c-3p,"[-0.0745491526227447, 0.6107694964134036]"
0.54,hsa-miR-130a-3p,hsa-miR-30c-5p,"[-0.632895323517571, 0.8097050098108732]"
0.53,hsa-miR-130a-3p,hsa-miR-374b-5p,"[-0.7025815889291025, 0.32372706449391214]"
0.52,hsa-miR-130a-3p,hsa-miR-660-5p,"[-0.5854932425377445, 0.6274312065425646]"
0.52,hsa-miR-130a-3p,hsa-let-7b-3p,"[-0.5491206429292954, 0.23331720497106587]"
0.51,hsa-miR-130a-3p,hsa-miR-26b-5p,"[-0.025445568433671715, -0.12512130527182833]"
0.51,hsa-miR-130a-3p,hsa-miR-223-3p,"[-0.6333905507144001, -0.28482891255671966]"
0.49,hsa-miR-130a-3p,hsa-miR-22-3p,"[-0.10550280337861058, 0.024906675680966623]"
0.48,hsa-miR-130a-3p,hsa-let-7e-5p,"[-0.11403422814574313, 0.0]"
0.48,hsa-miR-130a-3p,hsa-miR-93-5p,"[-0.10124636751951865, -0.061122388830660554]"
0.48,hsa-miR-130a-3p,hsa-miR-122-5p,"[-0.24020370428443374, -0.3539467102259714]"
0.48,hsa-miR-130a-3p,hsa-miR-199a-5p,"[-0.11468641905573873, 0.0]"
0.48,hsa-miR-130a-3p,hsa-miR-320b,"[-0.10996348467488906, -0.03446689245942066]"
0.47,hsa-miR-130a-3p,hsa-miR-148a-3p,"[-0.07578179040714302, -0.2760202037518802]"
0.47,hsa-miR-130a-3p,hsa-miR-20a-5p,"[-0.11482297084214739, 0.0]"
0.46,hsa-miR-130a-3p,hsa-miR-10b-5p,"[-0.4184040736945875, 0.3771212400844104]"
0.45,hsa-miR-130a-3p,hsa-miR-125b-5p,"[-0.41919924422013943, 0.4063089079769264]"
0.45,hsa-miR-130a-3p,hsa-miR-19a-3p,"[-0.11482292651140114, 0.0]"
0.45,hsa-miR-130a-3p,hsa-miR-375,"[-0.41011121928496547, 0.1798002800292869]"
0.45,hsa-miR-130a-3p,hsa-miR-192-5p,"[-0.11470053335338624, 0.0]"
0.45,hsa-miR-130a-3p,hsa-miR-152,"[-0.11403422814574313, 0.0]"
0.45,hsa-miR-130a-3p,hsa-miR-197-3p,"[-0.11403422814574313, 0.0]"
0.44,hsa-miR-130a-3p,hsa-miR-342-3p,"[-0.11482297084214739, 0.0]"
0.44,hsa-miR-130a-3p,hsa-miR-92a-3p,"[-0.11476312207802494, 0.0]"
0.44,hsa-miR-130a-3p,hsa-miR-186-5p,"[-0.15036641768920406, 0.08998101773544744]"
0.44,hsa-miR-130a-3p,hsa-miR-144-3p,"[-0.11482297084214739, 0.0]"
0.44,hsa-miR-130a-3p,hsa-let-7g-5p,"[-0.32632633244163933, 0.34712360519986135]"
0.43,hsa-miR-130a-3p,hsa-miR-25-3p,"[-0.27274787028729147, 0.3387405273560061]"
0.43,hsa-miR-130a-3p,hsa-miR-146a-5p,"[-0.11482297084214739, 0.0]"
0.43,hsa-miR-130a-3p,hsa-miR-142-5p,"[-0.2150447807235232, 0.09520400763004959]"
0.43,hsa-miR-130a-3p,hsa-miR-423-3p,"[-0.11403422814574313, 0.0]"
0.43,hsa-miR-130a-3p,hsa-miR-103a-3p,"[-0.182547899424507, -0.23171062605111922]"
0.42,hsa-miR-130a-3p,hsa-miR-27b-3p,"[-0.11282690622795455, -0.09368402512429337]"
0.42,hsa-miR-130a-3p,hsa-miR-136-5p,"[-0.11403422814574313, 0.0]"
0.42,hsa-miR-130a-3p,hsa-miR-99b-5p,"[-0.11403422814574313, 0.0]"
0.42,hsa-miR-130a-3p,hsa-miR-21-5p,"[-0.3048663793241017, -0.12144264079864125]"
0.42,hsa-miR-130a-3p,hsa-miR-30a-5p,"[-0.11403422814574313, 0.0]"
0.41,hsa-miR-130a-3p,hsa-miR-106a-5p,"[-0.11482297084214739, 0.0]"
0.41,hsa-miR-130a-3p,hsa-miR-101-3p,"[-0.11733530513919614, 0.03811659499694444]"
0.41,hsa-miR-130a-3p,hsa-let-7i-5p,"[-0.3879508348806276, 0.29806778854813726]"
0.4,hsa-miR-130a-3p,hsa-miR-326,"[-0.11475617688948445, 0.0]"
0.4,hsa-miR-130a-3p,hsa-miR-99a-5p,"[-0.1147861087050213, 0.0]"
0.4,hsa-miR-130a-3p,hsa-miR-139-5p,"[-0.11482291890074409, 0.0]"
0.39,hsa-miR-130a-3p,hsa-miR-338-3p,"[-0.11477089987729502, 0.0]"
0.39,hsa-miR-130a-3p,hsa-let-7d-5p,"[-0.16185607187425513, 0.04047819271140734]"
0.39,hsa-miR-130a-3p,hsa-miR-425-3p,"[-0.43250712056721013, 0.1602270590307699]"
0.38,hsa-miR-130a-3p,hsa-miR-23a-3p,"[-0.2377015398101882, -0.1427611436173656]"
