0.38,hsa-miR-130b-3p,hsa-miR-223-5p,"[-0.016125429654868316, 0.0]"
0.37,hsa-miR-107,hsa-miR-130b-3p,"[0.0, -0.016125429654868316]"
0.37,hsa-miR-130b-3p,hsa-miR-378a-3p,"[-0.016125429654868316, 0.0]"
0.37,hsa-miR-130b-3p,hsa-miR-140-5p,"[-0.016125429654868316, 0.0]"
0.37,hsa-miR-130b-3p,hsa-miR-32-5p,"[-0.016132820542832303, 0.0]"
0.37,hsa-miR-130b-3p,hsa-let-7a-5p,"[-0.016125429654868316, 0.0]"
0.36,hsa-miR-885-5p,hsa-miR-125a-5p,"[-0.006237592394318526, 0.0]"
0.36,hsa-miR-885-5p,hsa-miR-29b-3p,"[-0.006237148359620261, 0.0]"
0.36,hsa-miR-885-5p,hsa-miR-144-5p,"[0.0, -0.015132438041921444]"
0.36,hsa-miR-107,hsa-miR-223-5p,"[0.0, -0.014543482654461523]"
0.36,hsa-miR-107,hsa-miR-151a-5p,"[0.0, -0.026469734781428302]"
0.36,hsa-miR-107,hsa-miR-32-5p,"[0.0, -0.024916393147165303]"
0.36,hsa-miR-107,hsa-miR-181a-5p,"[0.0, 0.0]"
0.36,hsa-miR-130b-3p,hsa-miR-199a-3p,"[-0.016125429654868316, 0.0]"
0.36,hsa-miR-130b-3p,hsa-miR-125a-5p,"[-0.01613449522403907, 0.0]"
0.36,hsa-miR-130b-3p,hsa-miR-144-5p,"[-0.016125429654868316, 0.0]"
0.36,hsa-miR-378a-3p,hsa-miR-125a-5p,"[0.0, -0.009517340650337942]"
0.36,hsa-miR-378a-3p,hsa-let-7a-5p,"[0.0, 0.0]"
0.36,hsa-miR-223-5p,hsa-miR-199a-3p,"[-0.01454801859422214, 0.0]"
0.36,hsa-miR-223-5p,hsa-miR-125a-5p,"[-0.014543482654461523, 0.0]"
0.35,hsa-miR-885-5p,hsa-miR-151a-5p,"[0.0, -0.026469734781428302]"
0.35,hsa-miR-885-5p,hsa-miR-32-5p,"[0.0, -0.024916393147165303]"
0.35,hsa-miR-885-5p,hsa-miR-424-5p,"[0.0, -0.019321161886065634]"
0.35,hsa-miR-107,hsa-miR-140-5p,"[0.0, -0.011240262165932177]"
0.35,hsa-miR-107,hsa-miR-125a-5p,"[0.0, -0.009517340650337942]"
0.35,hsa-miR-107,hsa-miR-29b-3p,"[0.0, -0.005725144627947476]"
0.35,hsa-miR-107,hsa-miR-144-5p,"[0.0, -0.015132438041921444]"
0.35,hsa-miR-107,hsa-miR-424-5p,"[0.0, -0.019321161886065634]"
0.35,hsa-miR-130b-3p,hsa-miR-151a-5p,"[-0.016130998990290708, 0.0]"
0.35,hsa-miR-130b-3p,hsa-miR-29b-3p,"[-0.016125429654868316, 0.0]"
0.35,hsa-miR-130b-3p,hsa-miR-424-5p,"[-0.016134109098661788, 0.0]"
0.35,hsa-miR-378a-3p,hsa-miR-151a-5p,"[0.0, -0.026469734781428302]"
0.35,hsa-miR-378a-3p,hsa-miR-181a-5p,"[0.0, 0.0]"
0.35,hsa-miR-223-5p,hsa-miR-140-5p,"[-0.014543482654461523, 0.0]"
0.35,hsa-miR-223-5p,hsa-miR-151a-5p,"[-0.014543482654461523, 0.0]"
0.34,hsa-miR-885-5p,hsa-miR-199a-3p,"[0.0, -0.021462421489281205]"
0.34,hsa-miR-885-5p,hsa-let-7a-5p,"[-0.006237148359620261, 0.0]"
0.34,hsa-miR-885-5p,hsa-miR-181a-5p,"[-0.006237148359620261, 0.0]"
0.34,hsa-miR-107,hsa-miR-199a-3p,"[0.0, -0.021462421489281205]"
0.34,hsa-miR-130b-3p,hsa-miR-181a-5p,"[-0.016125429654868316, 0.0]"
0.34,hsa-miR-378a-3p,hsa-miR-223-5p,"[0.0, -0.014543482654461523]"
0.34,hsa-miR-378a-3p,hsa-miR-32-5p,"[0.0, -0.024916393147165303]"
0.34,hsa-miR-378a-3p,hsa-miR-144-5p,"[0.0, -0.015132438041921444]"
0.34,hsa-miR-378a-3p,hsa-miR-424-5p,"[0.0, -0.019321161886065634]"
0.34,hsa-miR-223-5p,hsa-miR-32-5p,"[-0.014549247940704944, 0.0]"
0.33,hsa-miR-107,hsa-miR-378a-3p,"[0.0, 0.0]"
0.33,hsa-miR-107,hsa-let-7a-5p,"[0.0, 0.0]"
0.33,hsa-miR-378a-3p,hsa-miR-199a-3p,"[0.0, -0.021462421489281205]"
0.33,hsa-miR-378a-3p,hsa-miR-29b-3p,"[0.0, -0.005725144627947476]"
0.32,hsa-miR-378a-3p,hsa-miR-140-5p,"[0.0, -0.011240262165932177]"
