0.57,hsa-miR-365a-3p,hsa-miR-502-3p,"[0.5892696973295799, -0.635040673551918]"
0.56,hsa-miR-365a-3p,hsa-miR-423-3p,"[0.4744289949780353, -0.7779466668206074]"
0.55,hsa-miR-365a-3p,hsa-let-7f-5p,"[0.7427116831990426, -0.7829079432171933]"
0.53,hsa-miR-365a-3p,hsa-miR-152,"[0.2823276450445921, -0.5026262047425414]"
0.47,hsa-miR-365a-3p,hsa-miR-139-5p,"[0.43250630264384937, -0.5167015876634397]"
0.47,hsa-miR-365a-3p,hsa-miR-130b-3p,"[0.5230541233243229, -0.4759384774591732]"
0.45,hsa-miR-365a-3p,hsa-miR-22-3p,"[0.07252530818990684, 0.3755923125255912]"
0.44,hsa-miR-365a-3p,hsa-miR-223-5p,"[0.4840326072297524, -0.4657676211818967]"
0.44,hsa-miR-365a-3p,hsa-miR-424-5p,"[0.3304501815590883, -0.48795063936221933]"
0.43,hsa-miR-365a-3p,hsa-miR-425-3p,"[0.535950797426781, -0.5324381113413345]"
0.41,hsa-miR-365a-3p,hsa-miR-192-5p,"[0.16985625779840302, -0.35219444181772785]"
0.4,hsa-miR-365a-3p,hsa-let-7d-5p,"[0.1883809753889062, -0.3166659356632969]"
0.4,hsa-miR-365a-3p,hsa-miR-197-3p,"[0.17654276279151343, -0.32823114590566443]"
0.39,hsa-miR-365a-3p,hsa-miR-151a-5p,"[0.08681239050019889, -0.24132211457190458]"
0.38,hsa-miR-365a-3p,hsa-let-7b-3p,"[0.05098168167916611, -0.054547307016415164]"
0.38,hsa-miR-365a-3p,hsa-miR-32-5p,"[0.1391513774853864, -0.2688347482447862]"
0.37,hsa-miR-365a-3p,hsa-let-7i-5p,"[0.0, 0.0]"
0.37,hsa-miR-365a-3p,hsa-miR-532-3p,"[0.19026621590871193, -0.18867652628780365]"
0.37,hsa-miR-365a-3p,hsa-miR-30d-5p,"[0.23447606539881283, -0.23169278749837602]"
0.37,hsa-miR-365a-3p,hsa-miR-140-5p,"[0.3880711961361458, -0.4132397239741783]"
0.36,hsa-miR-365a-3p,hsa-miR-144-3p,"[0.009436797899599074, -0.08445498527169745]"
0.36,hsa-miR-365a-3p,hsa-miR-660-5p,"[0.0, 0.0]"
0.36,hsa-miR-365a-3p,hsa-miR-126-3p,"[0.0, 0.0]"
0.36,hsa-miR-365a-3p,hsa-miR-15b-5p,"[0.2095580402245791, -0.4255558111013588]"
0.36,hsa-miR-365a-3p,hsa-miR-652-3p,"[0.1544778354084888, -0.39889607825269485]"
0.35,hsa-miR-365a-3p,hsa-miR-320b,"[0.012294285248470503, -0.13655784713728109]"
0.35,hsa-miR-365a-3p,hsa-miR-20a-5p,"[0.0, 0.0]"
0.35,hsa-miR-365a-3p,hsa-miR-103a-3p,"[0.0, 0.0]"
0.35,hsa-miR-365a-3p,hsa-let-7g-5p,"[0.0, 0.0]"
0.35,hsa-miR-365a-3p,hsa-miR-29a-3p,"[0.0, 0.0]"
0.35,hsa-miR-365a-3p,hsa-miR-378a-3p,"[0.0, 0.0]"
0.35,hsa-miR-365a-3p,hsa-miR-29b-3p,"[0.08031664753632099, -0.11581447371681156]"
0.35,hsa-miR-365a-3p,hsa-miR-144-5p,"[0.17941865757650077, -0.26083732218905376]"
0.35,hsa-miR-365a-3p,hsa-let-7a-5p,"[0.0, 0.0]"
0.35,hsa-miR-365a-3p,hsa-miR-181a-5p,"[0.0, 0.0]"
0.34,hsa-miR-365a-3p,hsa-miR-23a-3p,"[0.0, 0.0]"
0.34,hsa-miR-365a-3p,hsa-miR-425-5p,"[0.0, 0.0]"
0.34,hsa-miR-365a-3p,hsa-miR-374a-5p,"[0.14530872041849965, -0.14521514100344868]"
0.34,hsa-miR-365a-3p,hsa-miR-107,"[0.0, 0.0]"
0.34,hsa-miR-365a-3p,hsa-miR-199a-3p,"[0.15040756848930767, -0.3038242634070834]"
0.33,hsa-miR-365a-3p,hsa-miR-142-5p,"[0.07520784829305487, -0.1410399471129214]"
0.33,hsa-miR-365a-3p,hsa-miR-101-3p,"[0.0, 0.0]"
0.33,hsa-miR-365a-3p,hsa-miR-30c-5p,"[0.0, 0.0]"
0.33,hsa-miR-365a-3p,hsa-miR-885-5p,"[0.24191518761011976, -0.236398541337178]"
0.33,hsa-miR-365a-3p,hsa-miR-125a-5p,"[0.08122160054530583, -0.13482775046071482]"
0.32,hsa-miR-365a-3p,hsa-miR-215,"[0.0, 0.0]"
0.32,hsa-miR-365a-3p,hsa-miR-423-5p,"[0.0, 0.0]"
0.32,hsa-miR-365a-3p,hsa-let-7d-3p,"[0.0, 0.0]"
0.32,hsa-miR-365a-3p,hsa-miR-210,"[0.06980200985349402, -0.07175492366470837]"
0.31,hsa-miR-365a-3p,hsa-miR-106b-5p,"[0.0, 0.0]"
