0.38,hsa-let-7d-3p,hsa-miR-199a-3p,"[0.0, -0.021462421489281205]"
0.37,hsa-miR-30d-5p,hsa-miR-199a-3p,"[0.0, -0.021467517032848955]"
0.37,hsa-miR-30d-5p,hsa-miR-424-5p,"[0.0, -0.019321161886065634]"
0.37,hsa-let-7d-3p,hsa-miR-29a-3p,"[0.0, 0.0]"
0.37,hsa-let-7d-3p,hsa-miR-130b-3p,"[0.0, -0.016125429654868316]"
0.37,hsa-let-7d-3p,hsa-miR-424-5p,"[0.0, -0.019321161886065634]"
0.36,hsa-miR-30d-5p,hsa-miR-15b-5p,"[0.0, -0.03614972172184327]"
0.36,hsa-miR-30d-5p,hsa-miR-107,"[-0.006077749341269961, 0.0]"
0.36,hsa-miR-30d-5p,hsa-miR-32-5p,"[0.0, -0.024916393147165303]"
0.36,hsa-miR-30d-5p,hsa-miR-29b-3p,"[-0.006077749341269961, 0.0]"
0.36,hsa-miR-30d-5p,hsa-let-7a-5p,"[-0.006077749341269961, 0.0]"
0.36,hsa-let-7d-3p,hsa-miR-106b-5p,"[0.0, 0.0]"
0.36,hsa-let-7d-3p,hsa-miR-107,"[0.0, 0.0]"
0.36,hsa-let-7d-3p,hsa-miR-181a-5p,"[0.0, 0.0]"
0.36,hsa-miR-106b-5p,hsa-miR-15b-5p,"[0.0, -0.03614972172184327]"
0.36,hsa-miR-106b-5p,hsa-miR-378a-3p,"[0.0, 0.0]"
0.36,hsa-miR-106b-5p,hsa-miR-223-5p,"[0.0, -0.014543482654461523]"
0.35,hsa-miR-30d-5p,hsa-miR-29a-3p,"[-0.006077749341269961, 0.0]"
0.35,hsa-miR-30d-5p,hsa-miR-652-3p,"[0.0, -0.02519956041663788]"
0.35,hsa-miR-30d-5p,hsa-miR-885-5p,"[0.0, -0.006237148359620261]"
0.35,hsa-miR-30d-5p,hsa-miR-130b-3p,"[0.0, -0.016125429654868316]"
0.35,hsa-miR-30d-5p,hsa-miR-223-5p,"[0.0, -0.014549323942125138]"
0.35,hsa-miR-30d-5p,hsa-miR-144-5p,"[0.0, -0.01513575689213052]"
0.35,hsa-miR-30d-5p,hsa-miR-181a-5p,"[-0.006077749341269961, 0.0]"
0.35,hsa-let-7d-3p,hsa-miR-652-3p,"[0.0, -0.025194609603946528]"
0.35,hsa-let-7d-3p,hsa-miR-378a-3p,"[0.0, 0.0]"
0.35,hsa-let-7d-3p,hsa-miR-223-5p,"[0.0, -0.014543482654461523]"
0.35,hsa-let-7d-3p,hsa-miR-29b-3p,"[0.0, -0.005725144627947476]"
0.35,hsa-let-7d-3p,hsa-miR-144-5p,"[0.0, -0.015132438041921444]"
0.35,hsa-let-7d-3p,hsa-let-7a-5p,"[0.0, 0.0]"
0.35,hsa-miR-106b-5p,hsa-miR-374a-5p,"[0.0, -0.003905654699771365]"
0.35,hsa-miR-106b-5p,hsa-miR-29a-3p,"[0.0, 0.0]"
0.35,hsa-miR-106b-5p,hsa-miR-130b-3p,"[0.0, -0.016125429654868316]"
0.34,hsa-miR-30d-5p,hsa-miR-378a-3p,"[-0.006077749341269961, 0.0]"
0.34,hsa-miR-30d-5p,hsa-miR-140-5p,"[0.0, -0.011240262165932177]"
0.34,hsa-miR-30d-5p,hsa-miR-151a-5p,"[0.0, -0.026469734781428302]"
0.34,hsa-let-7d-3p,hsa-miR-374a-5p,"[0.0, -0.003905654699771365]"
0.34,hsa-let-7d-3p,hsa-miR-15b-5p,"[0.0, -0.03614972172184327]"
0.34,hsa-let-7d-3p,hsa-miR-210,"[0.0, -0.003939667103590772]"
0.34,hsa-let-7d-3p,hsa-miR-885-5p,"[0.0, -0.006237148359620261]"
0.34,hsa-let-7d-3p,hsa-miR-151a-5p,"[0.0, -0.026469734781428302]"
0.34,hsa-let-7d-3p,hsa-miR-32-5p,"[0.0, -0.024916393147165303]"
0.34,hsa-miR-106b-5p,hsa-miR-652-3p,"[0.0, -0.025194609603946528]"
0.34,hsa-miR-106b-5p,hsa-miR-107,"[0.0, 0.0]"
0.33,hsa-miR-30d-5p,hsa-miR-210,"[-0.006078025513622683, 0.0]"
0.33,hsa-miR-30d-5p,hsa-miR-125a-5p,"[-0.006077749341269961, 0.0]"
0.33,hsa-let-7d-3p,hsa-miR-140-5p,"[0.0, -0.011240262165932177]"
0.33,hsa-let-7d-3p,hsa-miR-125a-5p,"[0.0, -0.009517340650337942]"
0.32,hsa-miR-106b-5p,hsa-miR-210,"[0.0, -0.003939667103590772]"
0.32,hsa-miR-106b-5p,hsa-miR-885-5p,"[0.0, -0.006237148359620261]"
