0.59,hsa-miR-140-3p,hsa-miR-29c-3p,"[0.009483406582513596, 0.671202206391869]"
0.55,hsa-miR-140-3p,hsa-miR-99a-5p,"[0.7983866426650937, -0.37729154551222444]"
0.54,hsa-miR-140-3p,hsa-miR-136-5p,"[0.7663560081993377, -0.322781553847641]"
0.53,hsa-miR-140-3p,hsa-let-7e-5p,"[0.7130658463860396, -0.35861972393686004]"
0.5,hsa-miR-140-3p,hsa-miR-16-5p,"[0.6030630192359882, 0.2026413036106124]"
0.5,hsa-miR-140-3p,hsa-miR-199a-5p,"[0.4265554290515817, -0.33294599105615863]"
0.49,hsa-miR-140-3p,hsa-miR-326,"[0.6684662638582112, -0.31440789913063]"
0.49,hsa-miR-140-3p,hsa-miR-26b-5p,"[0.3128964693681844, -0.37261473444306675]"
0.49,hsa-miR-140-3p,hsa-miR-30a-5p,"[0.6491772208981191, -0.29329612543721273]"
0.47,hsa-miR-140-3p,hsa-miR-93-5p,"[0.15286495571456493, -0.5190186485646936]"
0.47,hsa-miR-140-3p,hsa-miR-99b-5p,"[0.6708431888214184, -0.28353927031869497]"
0.47,hsa-miR-140-3p,hsa-miR-148a-3p,"[0.10357158040394446, -0.45877934614332894]"
0.45,hsa-miR-30b-5p,hsa-miR-107,"[-0.16421974189310995, 0.0]"
0.45,hsa-miR-140-3p,hsa-miR-338-3p,"[0.6063512527885835, -0.27391279208678265]"
0.42,hsa-miR-30b-5p,hsa-let-7a-5p,"[-0.16421974189310995, 0.0]"
0.42,hsa-miR-30b-5p,hsa-miR-181a-5p,"[-0.16421974189310995, 0.0]"
0.41,hsa-miR-140-3p,hsa-miR-122-5p,"[0.0, -0.15541343388098175]"
0.4,hsa-miR-140-3p,hsa-miR-146a-5p,"[0.010150092496099947, 0.0]"
0.4,hsa-miR-140-3p,hsa-miR-21-5p,"[0.6123373742917382, 0.30541767522384766]"
0.39,hsa-miR-30b-5p,hsa-miR-378a-3p,"[-0.1717184069500475, 0.008923888716190752]"
0.39,hsa-miR-30b-5p,hsa-miR-151a-5p,"[-0.16421974189310995, 0.0]"
0.39,hsa-miR-30b-5p,hsa-miR-199a-3p,"[-0.16421974189310995, 0.0]"
0.39,hsa-miR-30b-5p,hsa-miR-29b-3p,"[-0.18753057772392473, 0.011411535918846078]"
0.39,hsa-miR-140-3p,hsa-miR-92a-3p,"[0.3785217286465575, 0.2619992349148603]"
0.39,hsa-miR-140-3p,hsa-miR-30e-5p,"[0.0, 0.011861727413983595]"
0.39,hsa-miR-140-3p,hsa-miR-186-5p,"[0.010150092496099947, 0.0]"
0.38,hsa-miR-30b-5p,hsa-miR-125a-5p,"[-0.16421974189310995, 0.0]"
0.38,hsa-miR-140-3p,hsa-miR-106a-5p,"[0.010150092496099947, 0.0]"
0.38,hsa-miR-140-3p,hsa-miR-10b-5p,"[0.010150377101629117, 0.0]"
0.38,hsa-miR-140-3p,hsa-miR-19a-3p,"[0.1329182079364186, 0.29770797951156996]"
0.37,hsa-miR-140-3p,hsa-miR-23b-3p,"[0.17491046890012876, -0.628020292098386]"
0.37,hsa-miR-140-3p,hsa-miR-125b-5p,"[0.010150092496099947, 0.0]"
0.37,hsa-miR-140-3p,hsa-miR-25-3p,"[0.010150092496099947, 0.0]"
0.37,hsa-miR-140-3p,hsa-miR-144-3p,"[0.04384157882022161, -0.0997849508846288]"
0.36,hsa-miR-30b-5p,hsa-miR-223-5p,"[-0.16421974189310995, 0.0]"
0.36,hsa-miR-30b-5p,hsa-miR-140-5p,"[-0.18544124932796038, 0.007910075396656049]"
0.36,hsa-miR-30b-5p,hsa-miR-32-5p,"[-0.16421974189310995, 0.0]"
0.36,hsa-miR-30b-5p,hsa-miR-144-5p,"[-0.16421974189310995, 0.0]"
0.36,hsa-miR-140-3p,hsa-miR-222-3p,"[0.010150092496099947, 0.0]"
0.36,hsa-miR-140-3p,hsa-miR-15a-5p,"[0.26550551049532284, 0.20631069679002922]"
0.36,hsa-miR-140-3p,hsa-miR-342-3p,"[0.010150092496099947, 0.0]"
0.35,hsa-miR-30b-5p,hsa-miR-424-5p,"[-0.16421974189310995, 0.0]"
0.35,hsa-miR-140-3p,hsa-miR-27b-3p,"[0.004902352414551777, -0.17520673017037505]"
0.35,hsa-miR-140-3p,hsa-miR-374b-5p,"[0.1521701075669694, -0.06325336044889904]"
0.35,hsa-miR-140-3p,hsa-miR-223-3p,"[0.2098803028061763, 0.0858558709802782]"
0.34,hsa-miR-140-3p,hsa-miR-497-5p,"[0.010150092496099947, 0.0]"
0.34,hsa-miR-140-3p,hsa-miR-142-5p,"[0.1789959631105113, -0.1258361735363763]"
0.33,hsa-miR-30b-5p,hsa-miR-130b-3p,"[-0.1640849647505227, 0.0]"
0.33,hsa-miR-140-3p,hsa-miR-375,"[0.010150092496099947, 0.0]"
0.33,hsa-miR-140-3p,hsa-miR-215,"[0.010150092496099947, 0.0]"
