0.73,hsa-miR-532-5p,hsa-miR-99b-5p,10,43
0.7,hsa-miR-532-5p,hsa-miR-140-3p,10,17
0.66,hsa-miR-532-5p,hsa-miR-136-5p,10,26
0.65,hsa-miR-532-5p,hsa-miR-148a-3p,10,47
0.63,hsa-miR-532-5p,hsa-miR-23b-3p,10,21
0.63,hsa-miR-532-5p,hsa-miR-29c-3p,10,29
0.63,hsa-miR-532-5p,hsa-miR-26b-5p,10,31
0.62,hsa-miR-532-5p,hsa-miR-30e-5p,10,35
0.61,hsa-miR-532-5p,hsa-miR-122-5p,10,37
0.61,hsa-miR-532-5p,hsa-miR-21-5p,10,45
0.6,hsa-miR-532-5p,hsa-miR-19b-3p,10,14
0.6,hsa-miR-532-5p,hsa-let-7e-5p,10,22
0.59,hsa-miR-532-5p,hsa-miR-22-5p,10,11
0.59,hsa-miR-532-5p,hsa-miR-99a-5p,10,32
0.57,hsa-miR-532-5p,hsa-miR-497-5p,10,50
0.57,hsa-miR-532-5p,hsa-miR-215,10,51
0.56,hsa-miR-532-5p,hsa-miR-16-5p,10,18
0.55,hsa-miR-532-5p,hsa-miR-30b-5p,10,16
0.55,hsa-miR-532-5p,hsa-miR-106a-5p,10,24
0.55,hsa-miR-532-5p,hsa-miR-139-5p,10,54
0.53,hsa-miR-532-5p,hsa-miR-10b-5p,10,28
0.53,hsa-miR-532-5p,hsa-miR-374b-5p,10,39
0.53,hsa-miR-532-5p,hsa-miR-199a-5p,10,49
0.52,hsa-miR-532-5p,hsa-miR-27b-3p,10,23
0.52,hsa-miR-532-5p,hsa-miR-125b-5p,10,30
0.52,hsa-miR-532-5p,hsa-miR-92a-3p,10,34
0.51,hsa-miR-532-5p,hsa-miR-93-5p,10,33
0.51,hsa-miR-532-5p,hsa-miR-19a-3p,10,36
0.51,hsa-miR-532-5p,hsa-miR-338-3p,10,42
0.51,hsa-miR-532-5p,hsa-miR-223-3p,10,44
0.51,hsa-miR-532-5p,hsa-miR-375,10,48
0.5,hsa-miR-532-5p,hsa-miR-326,10,25
0.5,hsa-miR-532-5p,hsa-miR-423-3p,10,55
0.49,hsa-miR-532-5p,hsa-miR-146a-5p,10,41
0.48,hsa-miR-532-5p,hsa-miR-25-3p,10,40
0.47,hsa-miR-532-5p,hsa-miR-451a,10,12
0.47,hsa-miR-532-5p,hsa-miR-15a-5p,10,20
0.47,hsa-miR-532-5p,hsa-miR-342-3p,10,27
0.46,hsa-miR-532-5p,hsa-miR-186-5p,10,38
0.46,hsa-miR-532-5p,hsa-miR-30a-5p,10,46
0.45,hsa-miR-532-5p,hsa-miR-144-3p,10,53
0.44,hsa-miR-532-5p,hsa-miR-18b-5p,10,15
0.44,hsa-miR-532-5p,hsa-miR-222-3p,10,19
0.42,hsa-miR-532-5p,hsa-miR-34a-5p,10,13
0.42,hsa-miR-532-5p,hsa-miR-142-5p,10,52
0.38,hsa-miR-148b-3p,hsa-let-7a-5p,9,98
0.32,hsa-miR-148b-3p,hsa-miR-424-5p,9,99
0.31,hsa-miR-148b-3p,hsa-miR-181a-5p,9,100
0.3,hsa-miR-148b-3p,hsa-miR-29b-3p,9,96
0.25,hsa-miR-148b-3p,hsa-miR-144-5p,9,97
