petal width,0.9583333333333334
sepal width,0.9166666666666666
petal length,0.9166666666666666
0.0995017960121,0.75
sepal length,0.75
0.342214518846,0.7083333333333334
0.195376250323,0.5833333333333334
0.664528498619,0.5
0.0629209831295,0.4583333333333333
0.0590918316835,0.4583333333333333
0.42900507094,0.375
0.842180520289,0.375
0.501305527944,0.3333333333333333
0.195349326204,0.2916666666666667
0.647546879675,0.25
0.107804085565,0.25
0.545317037404,0.20833333333333334
0.140300113466,0.16666666666666666
0.929560515137,0.16666666666666666
0.863692856831,0.125
0.630162269381,0.08333333333333333
0.979981316998,0.08333333333333333
0.943513308623,0.041666666666666664
0.251900194224,0.041666666666666664
